"","age","race","gender","educ","pid3","pid7","ideo5","newsint","treatment","Legit_Trust","Legit_Fair","Strong_Exec","Pres_No_Others","Checks_Balances","female"
"59","18-29","White",1,"4-year College Degree","Independent",3,"Moderate","High","Control",0.166666666666667,0.5,0.5,0.5,0.333333333333333,"Male"
"60","45-64","White",2,"Post-Graduate Degree","Democrat",1,"Liberal","High","Diverse But Critiqued",0.333333333333333,0.25,0.666666666666667,0.833333333333333,0.166666666666667,"Female"
"61","18-29","Asian",1,"Some College","Republican",7,"Conservative","Don't Know","Control",0.5,0.5,0.5,0.5,0.5,"Male"
"62","18-29","Black",2,"High School Graduate","Democrat",1,"Moderate","High","Diverse But Critiqued",0.833333333333333,0.75,0.833333333333333,0.833333333333333,0.166666666666667,"Female"
"63","18-29","White",1,"High School Graduate","Democrat",1,"Moderate","Low","Diverse",0.666666666666667,0.75,0.5,0.833333333333333,0.5,"Male"
"64","65+","White",1,"Post-Graduate Degree","Republican",6,"Moderate","High","Control",0.666666666666667,0.75,0.5,0,0,"Male"
"65","65+","White",1,"Some College","Republican",7,"Conservative","High","Control",0.166666666666667,0.25,0.666666666666667,0.166666666666667,0,"Male"
"66","45-64","Asian",2,"4-year College Degree","Democrat",2,"Moderate","Low","Diverse",0.666666666666667,0.75,0.666666666666667,0.333333333333333,0.5,"Female"
"67","18-29","White",1,"High School Graduate","Democrat",2,"Moderate","Medium","Control",0.833333333333333,1,0.833333333333333,0.5,0.166666666666667,"Male"
"68","45-64","White",1,"Post-Graduate Degree","Independent",4,"Not Sure","Medium","Diverse But Critiqued",0.166666666666667,0.5,0.166666666666667,0,0,"Male"
"69","45-64","White",1,"Post-Graduate Degree","Independent",3,"Very Liberal","High","Diverse",0.5,0.75,0.166666666666667,0.666666666666667,0.166666666666667,"Male"
"70","65+","White",2,"Post-Graduate Degree","Democrat",1,"Moderate","High","Control",0,0,0.666666666666667,0.5,0.166666666666667,"Female"
"71","30-44","White",2,"2-year College Degree","Democrat",2,"Moderate","Low","Control",0.666666666666667,0.75,0.833333333333333,0.166666666666667,0,"Female"
"72","65+","White",2,"Post-Graduate Degree","Republican",7,"Conservative","High","Diverse",0.833333333333333,1,0.833333333333333,0.5,0,"Female"
"73","18-29","White",2,"Post-Graduate Degree","Democrat",2,"Moderate","Medium","Diverse",1,0.75,0.833333333333333,0.666666666666667,0.166666666666667,"Female"
"74","65+","White",1,"Some College","Independent",4,"Moderate","Medium","Diverse But Critiqued",0.5,0.5,0.5,0.5,0.333333333333333,"Male"
"75","18-29","White",2,"2-year College Degree","Democrat",1,"Liberal","High","Control",0.666666666666667,0.75,0.666666666666667,0.666666666666667,0.166666666666667,"Female"
"76","45-64","Black",2,"Some College","Independent",4,"Moderate","Low","Diverse But Critiqued",0.5,0.25,0.5,0.5,0.5,"Female"
"77","65+","White",1,"4-year College Degree","Republican",6,"Very Conservative","High","Diverse",0.333333333333333,1,0.166666666666667,0,0,"Male"
"78","30-44","White",1,"Post-Graduate Degree","Independent",4,"Moderate","High","Control",0,0.75,0.666666666666667,0.666666666666667,0,"Male"
"79","65+","White",2,"Some College","Republican",7,"Conservative","High","Diverse But Critiqued",0.666666666666667,0.75,0.333333333333333,0,0.166666666666667,"Female"
"80","18-29","Other",1,"Some College","Republican",7,"Very Conservative","None","Diverse But Critiqued",0.666666666666667,0.5,0.5,0.5,0.5,"Male"
"81","65+","White",2,"Some College","Democrat",2,"Moderate","High","Diverse",0,0.5,0,0.5,0,"Female"
"82","18-29","Native American",2,"2-year College Degree","Democrat",1,"Conservative","Low","Control",0.666666666666667,0.5,1,0.666666666666667,0.5,"Female"
"83","65+","Hispanic",2,"Some College","Democrat",1,"Very Liberal","High","Diverse But Critiqued",0.333333333333333,0.75,0.833333333333333,0,0,"Female"
"84","45-64","Multiracial",2,"Some College","Democrat",2,"Conservative","None","Diverse",0.5,0.5,0.666666666666667,0.5,0.333333333333333,"Female"
"85","45-64","White",1,"2-year College Degree","Republican",6,"Moderate","Low","Control",0.666666666666667,0.75,0.333333333333333,0.166666666666667,0.166666666666667,"Male"
"86","45-64","White",2,"2-year College Degree","Republican",7,"Conservative","High","Diverse But Critiqued",0.666666666666667,0,1,0.166666666666667,0,"Female"
"87","30-44","Black",2,"4-year College Degree","Republican",6,"Conservative","Low","Control",0.5,0.5,0.666666666666667,0.666666666666667,0.333333333333333,"Female"
"88","30-44","White",1,"4-year College Degree","Independent",3,"Moderate","High","Diverse But Critiqued",0.333333333333333,0.25,0.333333333333333,0,0,"Male"
"89","45-64","White",1,"Post-Graduate Degree","Republican",6,"Moderate","High","Control",0.666666666666667,0.25,0.5,0.833333333333333,0.166666666666667,"Male"
"90","30-44","White",2,"4-year College Degree","Republican",7,"Very Conservative","Medium","Diverse",0,0.5,0.5,0,0.166666666666667,"Female"
"91","45-64","Black",2,"4-year College Degree","Democrat",1,"Liberal","Medium","Diverse",0.5,0.75,0.666666666666667,0.333333333333333,0.333333333333333,"Female"
"92","45-64","White",2,"High School Graduate","Not Sure",4,"Moderate","None","Diverse",0.5,0.5,0.666666666666667,0.666666666666667,0,"Female"
"93","45-64","White",1,"4-year College Degree","Independent",5,"Moderate","High","Diverse But Critiqued",0.666666666666667,0.25,0.833333333333333,0,0,"Male"
"94","18-29","White",1,"4-year College Degree","Democrat",1,"Conservative","High","Control",0.833333333333333,0.75,0.833333333333333,0.833333333333333,0.166666666666667,"Male"
"95","65+","White",1,"4-year College Degree","Democrat",1,"Liberal","High","Diverse But Critiqued",0.5,0.75,0.666666666666667,0.333333333333333,0.166666666666667,"Male"
"96","18-29","Hispanic",1,"High School Graduate","Democrat",2,"Moderate","Don't Know","Control",0.5,0.75,0.5,0.5,0.5,"Male"
"97","18-29","Hispanic",1,"High School Graduate","Not Sure",4,"Conservative","Low","Diverse",0.333333333333333,0.5,0,0.5,0.5,"Male"
"98","30-44","Black",2,"2-year College Degree","Democrat",2,"Moderate","None","Diverse But Critiqued",0.666666666666667,0.25,0.166666666666667,0.833333333333333,0.166666666666667,"Female"
"99","65+","White",1,"Post-Graduate Degree","Independent",3,"Moderate","High","Diverse But Critiqued",0.333333333333333,0,0.666666666666667,0.166666666666667,0,"Male"
"100","65+","White",1,"Post-Graduate Degree","Democrat",1,"Liberal","Medium","Diverse",0.5,0.75,0.833333333333333,0.5,0.5,"Male"
"101","65+","White",1,"Post-Graduate Degree","Democrat",1,"Very Liberal","High","Diverse",0.666666666666667,0.75,0.833333333333333,0.833333333333333,0,"Male"
"102","30-44","White",2,"High School Graduate","Independent",3,"Very Liberal","Medium","Control",0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.166666666666667,"Female"
"103","65+","White",1,"Post-Graduate Degree","Independent",4,"Conservative","Medium","Diverse But Critiqued",0.666666666666667,0.5,0.666666666666667,0.333333333333333,0.166666666666667,"Male"
"104","30-44","White",2,"4-year College Degree","Independent",4,"Liberal","Low","Diverse",0.666666666666667,0.75,0.666666666666667,0.5,0.166666666666667,"Female"
"105","30-44","Black",2,"2-year College Degree","Independent",4,"Not Sure","Don't Know","Control",0.5,0.5,0.5,0.5,0.5,"Female"
"106","18-29","White",2,"4-year College Degree","Democrat",1,"Liberal","High","Diverse But Critiqued",0.5,0.5,0.333333333333333,0.333333333333333,0,"Female"
"107","30-44","White",1,"Post-Graduate Degree","Democrat",1,"Conservative","Medium","Diverse But Critiqued",1,1,1,1,0,"Male"
"108","18-29","Asian",1,"Some College","Republican",7,"Very Conservative","Medium","Diverse But Critiqued",0,0,0.833333333333333,1,0.166666666666667,"Male"
"109","45-64","Black",2,"4-year College Degree","Not Sure",8,"Not Sure","Don't Know","Control",0.833333333333333,0.5,0.5,0.166666666666667,0.5,"Female"
"110","65+","White",1,"Post-Graduate Degree","Independent",5,"Conservative","High","Control",0.666666666666667,0.75,0.166666666666667,0.333333333333333,0,"Male"
"111","65+","White",1,"Post-Graduate Degree","Republican",7,"Conservative","High","Diverse",0.666666666666667,1,0,0,0,"Male"
"112","30-44","White",1,"4-year College Degree","Democrat",1,"Liberal","Medium","Control",0.833333333333333,0.75,1,0.833333333333333,0.166666666666667,"Male"
"113","65+","White",1,"Post-Graduate Degree","Independent",4,"Moderate","High","Control",0.166666666666667,0.5,0.833333333333333,0.166666666666667,0.166666666666667,"Male"
"114","30-44","White",1,"4-year College Degree","Democrat",1,"Very Conservative","High","Diverse",1,1,1,1,0.166666666666667,"Male"
"115","18-29","White",2,"Post-Graduate Degree","Independent",4,"Conservative","High","Diverse",0.333333333333333,0.5,0,0,0,"Female"
"116","65+","White",1,"4-year College Degree","Democrat",1,"Very Liberal","High","Diverse But Critiqued",0.5,0.5,0.166666666666667,0.166666666666667,0,"Male"
"117","30-44","White",1,"Post-Graduate Degree","Democrat",1,"Very Liberal","Medium","Control",0.333333333333333,0.25,0.833333333333333,0.333333333333333,0,"Male"
"118","65+","White",1,"4-year College Degree","Democrat",1,"Liberal","High","Control",0.333333333333333,0.25,0.833333333333333,0.833333333333333,0.333333333333333,"Male"
"119","18-29","White",2,"2-year College Degree","Democrat",1,"Moderate","High","Diverse",0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.5,"Female"
"120","18-29","White",1,"Post-Graduate Degree","Democrat",1,"Moderate","Low","Diverse",1,0.75,1,1,0,"Male"
"121","30-44","White",2,"High School Graduate","Democrat",1,"Not Sure","None","Diverse But Critiqued",0.5,0,1,1,0.5,"Female"
"122","45-64","White",2,"4-year College Degree","Independent",3,"Moderate","High","Diverse But Critiqued",0.666666666666667,0.25,0.666666666666667,0.166666666666667,0,"Female"
"123","18-29","Asian",1,"2-year College Degree","Independent",5,"Moderate","High","Control",0.333333333333333,0.75,0.666666666666667,0.166666666666667,0,"Male"
"124","65+","White",1,"4-year College Degree","Independent",5,"Liberal","High","Control",0,0.25,0.833333333333333,0.166666666666667,0.166666666666667,"Male"
"125","18-29","White",1,"Post-Graduate Degree","Republican",7,"Very Conservative","Medium","Diverse",0.833333333333333,0.25,0.666666666666667,0.333333333333333,0.333333333333333,"Male"
"126","30-44","Hispanic",2,"4-year College Degree","Independent",4,"Moderate","Low","Diverse",0.666666666666667,0.5,0.5,0.5,0.5,"Female"
"127","65+","White",1,"Post-Graduate Degree","Independent",3,"Moderate","High","Control",0.666666666666667,0.75,1,0,0,"Male"
"128","30-44","White",1,"Post-Graduate Degree","Independent",3,"Liberal","High","Diverse But Critiqued",0.333333333333333,0.25,0.333333333333333,0.666666666666667,0.166666666666667,"Male"
"129","65+","White",1,"Post-Graduate Degree","Independent",4,"Moderate","High","Control",0.5,0.75,0.666666666666667,0.166666666666667,0,"Male"
"130","18-29","Black",2,"High School Graduate","Democrat",1,"Not Sure","None","Control",0.5,0.5,0.5,0.5,0.5,"Female"
"131","18-29","White",1,"High School Graduate","Democrat",1,"Not Sure","Low","Diverse But Critiqued",0.5,0.5,0.5,0.5,0.5,"Male"
"132","18-29","Multiracial",1,"High School Graduate","Republican",6,"Conservative","Don't Know","Diverse",0.5,0.5,0.5,0.5,0.5,"Male"
"133","30-44","White",1,"4-year College Degree","Republican",7,"Very Conservative","High","Diverse But Critiqued",0.333333333333333,0.75,0,0,0,"Male"
"134","45-64","White",2,"4-year College Degree","Democrat",1,"Very Liberal","Medium","Control",0.833333333333333,0.75,0.833333333333333,1,0.166666666666667,"Female"
"135","65+","White",1,"Post-Graduate Degree","Independent",3,"Moderate","High","Diverse",0.5,0.5,0.833333333333333,0.833333333333333,0,"Male"
"136","45-64","Hispanic",2,"Some College","Republican",7,"Very Conservative","High","Control",0.333333333333333,0.5,0.833333333333333,0.166666666666667,0.166666666666667,"Female"
"137","30-44","White",1,"4-year College Degree","Independent",3,"Liberal","High","Control",0.666666666666667,1,0.666666666666667,0,0,"Male"
"138","18-29","White",2,"Post-Graduate Degree","Democrat",2,"Moderate","Medium","Diverse But Critiqued",0.666666666666667,0.75,0.5,0.666666666666667,0.666666666666667,"Female"
"139","65+","White",1,"Less than a High School Diploma","Independent",5,"Very Conservative","High","Control",0,0.5,0.166666666666667,0,0,"Male"
"140","18-29","White",2,"4-year College Degree","Independent",3,"Very Liberal","Medium","Diverse",0.333333333333333,0.25,0.5,0.333333333333333,0.5,"Female"
"141","30-44","White",1,"4-year College Degree","Democrat",1,"Liberal","High","Diverse But Critiqued",0.833333333333333,0.75,0.833333333333333,0.833333333333333,0.166666666666667,"Male"
"142","30-44","White",1,"4-year College Degree","Democrat",1,"Liberal","Medium","Control",0.833333333333333,0.75,0.833333333333333,0.833333333333333,0.166666666666667,"Male"
"143","65+","Asian",1,"2-year College Degree","Independent",4,"Moderate","High","Diverse But Critiqued",0.333333333333333,0.25,0.833333333333333,0.666666666666667,0.166666666666667,"Male"
"144","30-44","White",1,"Post-Graduate Degree","Democrat",1,"Liberal","High","Diverse",0.833333333333333,0.75,0.666666666666667,1,0.166666666666667,"Male"
"145","18-29","Hispanic",1,"Some College","Democrat",1,"Liberal","Low","Diverse But Critiqued",0.833333333333333,0.75,0.666666666666667,0.666666666666667,0.166666666666667,"Male"
"146","18-29","White",2,"4-year College Degree","Independent",3,"Very Liberal","High","Diverse",0.333333333333333,0.5,0.666666666666667,0.5,0.166666666666667,"Female"
"147","45-64","Asian",1,"High School Graduate","Republican",6,"Moderate","Low","Control",0.666666666666667,0.75,0.5,0.5,0.5,"Male"
"148","18-29","White",2,"4-year College Degree","Democrat",1,"Moderate","High","Diverse",0.833333333333333,0.75,0.833333333333333,0.666666666666667,0.166666666666667,"Female"
"149","30-44","White",1,"Post-Graduate Degree","Independent",5,"Conservative","High","Control",0.666666666666667,1,0.5,0,0,"Male"
"150","18-29","Black",1,"4-year College Degree","Democrat",1,"Liberal","Medium","Diverse But Critiqued",0.166666666666667,0,0.833333333333333,1,0,"Male"
"151","18-29","Black",2,"Post-Graduate Degree","Democrat",2,"Liberal","High","Control",0.833333333333333,0.5,0.833333333333333,0,0,"Female"
"152","30-44","White",1,"Some College","Independent",4,"Conservative","High","Control",0.166666666666667,1,0.166666666666667,0,0,"Male"
"153","30-44","White",1,"Post-Graduate Degree","Republican",6,"Moderate","Low","Control",0.666666666666667,0.5,0.5,0.5,0.5,"Male"
"154","65+","White",2,"4-year College Degree","Independent",5,"Very Conservative","Low","Diverse",0.166666666666667,0.25,0,0,0,"Female"
"155","18-29","Hispanic",2,"2-year College Degree","Independent",4,"Moderate","Low","Diverse But Critiqued",0.666666666666667,0.5,0.5,0.666666666666667,0.333333333333333,"Female"
"156","18-29","Native American",1,"High School Graduate","Democrat",2,"Moderate","Low","Diverse",0.833333333333333,0.75,0.666666666666667,0.833333333333333,0.166666666666667,"Male"
"157","18-29","White",2,"4-year College Degree","Democrat",1,"Very Liberal","Medium","Diverse But Critiqued",0.666666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,"Female"
"158","30-44","White",1,"4-year College Degree","Democrat",2,"Liberal","High","Diverse But Critiqued",0.833333333333333,0.75,0.666666666666667,0.833333333333333,0.333333333333333,"Male"
"159","30-44","White",1,"4-year College Degree","Independent",3,"Not Sure","High","Diverse",0,0,0,0.5,0.166666666666667,"Male"
"160","30-44","White",1,"4-year College Degree","Democrat",1,"Moderate","Medium","Diverse",0.833333333333333,0.75,0.833333333333333,0.833333333333333,0.166666666666667,"Male"
"161","18-29","White",2,"4-year College Degree","Independent",3,"Liberal","High","Diverse",0.5,0.5,0,0.333333333333333,0.333333333333333,"Female"
"162","18-29","White",1,"Post-Graduate Degree","Democrat",1,"Very Conservative","High","Control",1,1,0.833333333333333,0.333333333333333,0.666666666666667,"Male"
"163","30-44","White",1,"Post-Graduate Degree","Democrat",1,"Conservative","Medium","Control",0.666666666666667,0.75,0.666666666666667,0.833333333333333,0,"Male"
"164","18-29","White",1,"High School Graduate","Democrat",2,"Conservative","Low","Diverse",0.5,0.75,0.666666666666667,0.5,0.333333333333333,"Male"
"165","30-44","Hispanic",1,"4-year College Degree","Independent",4,"Moderate","Low","Diverse",0.333333333333333,0.25,0.5,0.5,0.5,"Male"
"166","65+","White",1,"4-year College Degree","Democrat",1,"Liberal","High","Diverse But Critiqued",0.666666666666667,0.75,0.833333333333333,0.833333333333333,0.166666666666667,"Male"
"167","45-64","White",1,"Post-Graduate Degree","Democrat",1,"Liberal","High","Diverse",0.333333333333333,0.75,0.833333333333333,0.666666666666667,0.166666666666667,"Male"
"168","30-44","White",1,"4-year College Degree","Republican",7,"Liberal","Low","Control",0.833333333333333,1,1,0.666666666666667,0.333333333333333,"Male"
"169","30-44","White",1,"4-year College Degree","Democrat",1,"Conservative","High","Diverse But Critiqued",0.833333333333333,1,1,0.666666666666667,0.333333333333333,"Male"
"170","30-44","White",1,"4-year College Degree","Democrat",1,"Very Liberal","High","Control",1,1,0.833333333333333,0.666666666666667,0.333333333333333,"Male"
"171","30-44","White",2,"Post-Graduate Degree","Democrat",1,"Very Liberal","High","Control",0.666666666666667,0.75,0.833333333333333,0.5,0.333333333333333,"Female"
"172","18-29","White",1,"High School Graduate","Democrat",2,"Moderate","Low","Control",0.666666666666667,0.75,0.666666666666667,0.666666666666667,0.666666666666667,"Male"
"173","30-44","White",1,"4-year College Degree","Democrat",1,"Very Conservative","High","Diverse But Critiqued",1,1,1,1,0,"Male"
"174","30-44","White",1,"4-year College Degree","Independent",5,"Conservative","High","Diverse But Critiqued",0.333333333333333,0.75,0.833333333333333,0.333333333333333,0,"Male"
"175","30-44","Hispanic",2,"4-year College Degree","Independent",3,"Very Liberal","Medium","Diverse But Critiqued",0.333333333333333,0.25,0.5,0.5,0.166666666666667,"Female"
"176","18-29","Asian",2,"Some College","Independent",8,"Moderate","None","Diverse",0.666666666666667,0.75,0.666666666666667,0.333333333333333,0.5,"Female"
"177","30-44","White",1,"Post-Graduate Degree","Democrat",1,"Very Liberal","High","Diverse",1,1,1,1,0,"Male"
"178","65+","White",1,"Some College","Republican",7,"Very Conservative","High","Diverse But Critiqued",0.166666666666667,0.25,0.166666666666667,0.166666666666667,0.166666666666667,"Male"
"179","65+","White",2,"Some College","Democrat",1,"Very Liberal","High","Diverse",0.833333333333333,0.75,0.666666666666667,0.166666666666667,0.166666666666667,"Female"
"180","18-29","White",2,"4-year College Degree","Democrat",1,"Very Liberal","Medium","Diverse",0.833333333333333,0.75,0.666666666666667,0.166666666666667,0,"Female"
"181","65+","White",1,"Post-Graduate Degree","Republican",7,"Very Conservative","High","Control",0,0.75,0,0.833333333333333,0.166666666666667,"Male"
"182","30-44","White",1,"2-year College Degree","Not Sure",8,"Moderate","None","Control",0.5,0.5,0.5,0.5,0.5,"Male"
"183","65+","Other",1,"Some College","Democrat",2,"Liberal","High","Diverse But Critiqued",0.833333333333333,1,1,0,0,"Male"
"184","45-64","White",2,"Some College","Democrat",1,"Very Liberal","High","Diverse But Critiqued",0.666666666666667,0.75,0.833333333333333,1,0,"Female"
